phase,run_id,algorithm,trial,H,qa,phi,fc,fy,max_iter,total_cost,iter_to_best,is_valid,fs_ot,fs_sl,fs_bc,tt,tb,tbase,base_w,ltoe,lheel,stem_db_mm,stem_sp_m,toe_db_mm,toe_sp_m,heel_db_mm,heel_sp_m,runtime_sec,timestamp
A3,A3_BA_H3_fc240_t01,BA,1,3.0,30.0,30.0,240,4000,5000,2849.23,27,1,5.300,3.012,5.228,0.200,0.200,0.300,1.500,0.500,0.800,12,0.25,12,0.25,12,0.25,0.35,2569-04-26 16:51:58
A3,A3_BA_H3_fc240_t02,BA,2,3.0,30.0,30.0,240,4000,5000,2849.23,26,1,5.399,3.084,4.762,0.200,0.200,0.300,1.500,0.400,0.900,12,0.25,12,0.25,12,0.25,0.32,2569-04-26 16:51:59
A3,A3_BA_H3_fc240_t03,BA,3,3.0,30.0,30.0,240,4000,5000,2849.23,90,1,5.300,3.012,5.228,0.200,0.200,0.300,1.500,0.500,0.800,12,0.25,12,0.25,12,0.25,0.31,2569-04-26 16:51:59
A3,A3_BA_H3_fc240_t04,BA,4,3.0,30.0,30.0,240,4000,5000,2849.23,27,1,5.399,3.084,4.762,0.200,0.200,0.300,1.500,0.400,0.900,12,0.25,12,0.25,12,0.25,0.33,2569-04-26 16:51:59
A3,A3_BA_H3_fc240_t05,BA,5,3.0,30.0,30.0,240,4000,5000,2849.23,74,1,5.172,2.940,5.700,0.200,0.200,0.300,1.500,0.600,0.700,12,0.25,12,0.25,12,0.25,0.33,2569-04-26 16:52:00
A3,A3_BA_H3_fc240_t06,BA,6,3.0,30.0,30.0,240,4000,5000,2849.23,67,1,5.399,3.084,4.762,0.200,0.200,0.300,1.500,0.400,0.900,12,0.25,12,0.25,12,0.25,0.33,2569-04-26 16:52:00
A3,A3_BA_H3_fc240_t07,BA,7,3.0,30.0,30.0,240,4000,5000,2849.23,124,1,5.399,3.084,4.762,0.200,0.200,0.300,1.500,0.400,0.900,12,0.25,12,0.25,12,0.25,0.33,2569-04-26 16:52:00
A3,A3_BA_H3_fc240_t08,BA,8,3.0,30.0,30.0,240,4000,5000,2849.23,86,1,5.172,2.940,5.700,0.200,0.200,0.300,1.500,0.600,0.700,12,0.25,12,0.25,12,0.25,0.32,2569-04-26 16:52:01
A3,A3_BA_H3_fc240_t09,BA,9,3.0,30.0,30.0,240,4000,5000,2849.23,155,1,5.300,3.012,5.228,0.200,0.200,0.300,1.500,0.500,0.800,12,0.25,12,0.25,12,0.25,0.33,2569-04-26 16:52:01
A3,A3_BA_H3_fc240_t10,BA,10,3.0,30.0,30.0,240,4000,5000,2849.23,164,1,5.399,3.084,4.762,0.200,0.200,0.300,1.500,0.400,0.900,12,0.25,12,0.25,12,0.25,0.33,2569-04-26 16:52:01
