trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,2942.29,128,5000,5001,13,13,6
2,2,2942.29,30,5000,5001,8,8,5
3,3,2942.29,169,5000,5001,12,12,6
4,4,2942.29,236,5000,5000,14,14,5
5,5,2942.29,119,5000,5001,11,11,3
6,6,2942.29,75,5000,5000,11,11,5
7,7,2942.29,46,5000,5001,9,9,4
8,8,2942.29,99,5000,5001,10,10,5
9,9,2942.29,32,5000,5001,8,8,3
10,10,2942.29,76,5000,5001,10,10,5
11,11,2942.29,72,5000,5001,13,13,4
12,12,2942.29,65,5000,5001,10,10,5
13,13,2942.29,83,5000,5001,11,11,3
14,14,2942.29,107,5000,5001,14,14,4
15,15,2942.29,23,5000,5001,8,8,4
16,16,2942.29,31,5000,5001,8,8,5
17,17,2942.29,18,5000,5001,6,6,3
18,18,2942.29,41,5000,5001,11,11,4
19,19,2942.29,69,5000,5001,8,8,4
20,20,2942.29,31,5000,5001,9,9,5
21,21,2942.29,25,5000,5001,6,6,3
22,22,2942.29,166,5000,5001,16,16,5
23,23,2942.29,34,5000,5001,8,8,4
24,24,2942.29,57,5000,5001,10,10,4
25,25,2942.29,248,5000,5001,17,17,4
26,26,2942.29,144,5000,5000,17,17,4
27,27,2942.29,63,5000,5001,5,5,4
28,28,2942.29,66,5000,5001,7,7,4
29,29,2942.29,63,5000,5001,11,11,5
30,30,2942.29,76,5000,5001,6,6,3
