trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5546.27,10556,20000,6539,29,29,80
2,2,5517.84,2554,20000,6387,35,35,37
3,3,5517.84,4006,20000,6561,35,35,32
4,4,5546.27,4108,20000,6435,37,37,38
5,5,5459.80,19095,20000,8286,33,33,28
6,6,5529.39,2592,20000,8223,33,33,29
7,7,5459.80,8210,20000,7237,32,32,33
8,8,5500.96,5824,20000,8174,37,37,31
9,9,5459.80,18575,20000,7711,34,34,32
10,10,5546.27,2539,20000,6312,36,36,28
11,11,5459.80,14020,20000,6797,35,35,33
12,12,5529.39,6911,20000,8415,26,26,28
13,13,5517.84,7707,20000,6079,40,40,30
14,14,5546.27,10664,20000,7120,33,33,33
15,15,5517.84,5849,20000,6333,28,28,28
16,16,5529.39,16003,20000,7695,35,35,27
17,17,5517.84,3231,20000,6399,24,24,26
18,18,5546.27,2835,20000,6528,41,41,29
19,19,5459.80,6885,20000,7575,38,38,35
20,20,5546.27,6543,20000,7096,33,33,36
21,21,5529.39,8965,20000,7465,36,36,30
22,22,5500.96,1040,20000,8286,29,29,26
23,23,5500.96,2909,20000,8458,32,32,30
24,24,5459.80,13223,20000,6537,33,33,28
25,25,5529.39,7767,20000,8344,40,40,28
26,26,5500.96,8685,20000,7838,40,40,30
27,27,5546.27,6892,20000,6323,33,33,27
28,28,5500.96,4762,20000,8060,24,24,30
29,29,5500.96,3385,20000,7977,33,33,28
30,30,5529.39,7060,20000,8340,37,37,34
