trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,3975.51,4949,5000,3013,19,19,27
2,2,3975.51,888,5000,3046,27,27,9
3,3,3975.51,652,5000,3134,24,24,6
4,4,3975.51,2684,5000,3189,33,33,8
5,5,3975.51,2804,5000,3336,22,22,7
6,6,3975.51,392,5000,3110,21,21,6
7,7,3975.51,1668,5000,3029,25,25,6
8,8,3975.51,2385,5000,2967,29,29,7
9,9,3975.51,1314,5000,3030,27,27,8
10,10,3975.51,3571,5000,3294,24,24,7
11,11,3975.51,1522,5000,3018,25,25,8
12,12,3975.51,2751,5000,3052,23,23,6
13,13,3975.51,2066,5000,3151,25,25,8
14,14,3985.94,3209,5000,3201,29,29,6
15,15,3975.51,1039,5000,3078,26,26,8
16,16,4015.79,2190,5000,3119,27,27,6
17,17,3975.51,648,5000,3211,26,26,7
18,18,3975.51,2117,5000,3185,22,22,8
19,19,3975.51,1440,5000,3119,26,26,7
20,20,3975.51,1933,5000,3278,28,28,8
21,21,3975.51,4780,5000,3487,23,23,6
22,22,3975.51,3987,5000,3171,32,32,8
23,23,4045.17,3895,5000,3296,29,29,6
24,24,3975.51,531,5000,3056,24,24,6
25,25,3975.51,410,5000,3060,22,22,7
26,26,3986.89,4063,5000,2800,24,24,5
27,27,3975.51,1123,5000,3204,25,25,7
28,28,3975.51,1401,5000,3109,21,21,7
29,29,3986.89,3757,5000,3162,28,28,7
30,30,3975.51,1409,5000,3160,22,22,8
