No.,Rejected,Passed,Passed and Better value
0,,,4703.21
1,,,3887.26
2,4544.15,,
3,,4598.49,
4,,4270.95,
5,,5313.45,
6,,4847.52,
7,,4297.38,
8,,,3773.63
9,,4553.01,
10,,4742.99,
11,,3811.79,
12,,5057.79,
13,,4010.33,
14,,4224.16,
15,,4921.07,
16,,3919.59,
17,,4357.52,
18,,4018.84,
19,,5304.29,
20,,,3460.17
21,,,3099.97
22,,4146.88,
23,,3302.78,
24,,,3025.50
25,,3788.04,
26,,4159.50,
27,,3028.18,
28,,3255.80,
29,,3433.57,
30,,3250.59,
31,,,2922.20
32,,3395.43,
33,,3221.68,
34,,3031.19,
35,,3557.07,
36,,3501.48,
37,,3008.99,
38,,3967.94,
39,,3119.80,
40,,3472.21,
41,,3591.52,
42,,,2911.78
43,,3430.81,
44,,3025.50,
45,,3701.22,
46,,3160.62,
47,,3111.75,
48,,3775.14,
49,,3245.69,
50,,3222.63,
51,,2972.19,
52,,3638.98,
53,,3156.39,
54,,3526.37,
55,,3090.02,
56,,3185.97,
57,,3191.66,
58,,3066.89,
59,,3183.77,
60,,3221.21,
61,,3508.99,
62,,3940.99,
63,,3532.53,
64,,3511.21,
65,,3611.66,
66,,3138.76,
67,,3454.82,
68,,2972.19,
69,,3808.95,
70,,3233.76,
71,,3054.65,
72,,3229.26,
73,,3365.65,
74,,3453.87,
75,,3131.65,
76,,3000.86,
77,,3050.38,
78,,2989.96,
79,,3211.10,
80,,3166.24,
81,,3588.92,
82,,3165.84,
83,,2922.20,
84,,3500.31,
85,,3314.32,
86,,3446.29,
87,,3109.38,
88,,3288.65,
89,,3238.74,
90,,3286.84,
91,,3359.73,
92,,3122.41,
93,,3321.19,
94,,2922.20,
95,,4696.00,
96,,2989.96,
97,,4096.58,
98,,3399.61,
99,,3295.36,
100,,3642.46,
101,,3025.50,
102,,3172.40,
103,,3107.24,
104,,,2849.23
105,,2915.33,
106,,3490.83,
107,,2894.72,
108,,3100.37,
109,,3069.41,
110,,3031.19,
111,,2968.64,
112,,2849.23,
113,,3373.31,
114,,3576.84,
115,,2960.82,
116,,2876.95,
117,,3362.89,
118,,3034.74,
119,,2849.23,
120,,3312.90,
121,,3096.90,
122,,2849.23,
123,,3606.21,
124,,2870.55,
125,,2866.29,
126,,3017.92,
127,,3832.40,
128,,3194.20,
129,,3164.82,
130,,2849.23,
131,,2902.30,
132,,3871.49,
133,,2849.23,
134,,3244.66,
135,,3050.14,
136,,3054.65,
137,,3890.45,
138,,3128.80,
139,,3046.35,
140,,2928.84,
141,,3249.24,
142,,3433.97,
143,,2930.02,
144,,3016.03,
145,,3135.68,
146,,3444.63,
147,,3099.43,
148,,3561.91,
149,,3370.87,
150,,3404.59,
151,,3325.61,
152,,3054.88,
153,,2930.02,
154,,2894.72,
155,,3353.41,
156,,2868.42,
157,,3888.55,
158,,3347.01,
159,,2870.55,
160,,3099.43,
161,,3405.54,
162,,3025.50,
163,,3364.07,
164,,2970.54,
