No.,Rejected,Passed,Passed and Better value
0,,,18328.30
1,15000.66,,
2,,,17588.86
3,,,13209.16
4,11578.99,,
5,14049.56,,
6,,16978.65,
7,,15789.39,
8,,16584.60,
9,,,11843.53
10,,13045.95,
11,12250.09,,
12,11647.34,,
13,,12870.46,
14,,12727.89,
15,,12264.61,
16,,,10889.34
17,,,10616.13
18,9268.47,,
19,13159.67,,
20,,,10348.36
21,,10446.22,
22,10647.04,,
23,11136.60,,
24,,10434.29,
25,,,9592.87
26,12708.98,,
27,11042.85,,
28,14056.65,,
29,9032.96,,
30,12549.52,,
31,10516.19,,
32,11044.47,,
33,,11605.16,
34,9289.71,,
35,7390.72,,
36,9187.84,,
37,12366.84,,
38,9543.07,,
39,10557.33,,
40,8970.25,,
41,13483.02,,
42,10066.48,,
43,8310.19,,
44,11026.73,,
45,10980.70,,
46,8529.76,,
47,,,9342.50
48,10707.40,,
49,10400.10,,
50,8432.99,,
51,9528.74,,
52,8608.27,,
53,10954.45,,
54,10182.77,,
55,10454.30,,
56,9851.58,,
57,9478.62,,
58,,10535.09,
59,,10425.46,
60,,12182.63,
61,9211.54,,
62,10251.50,,
63,9000.29,,
64,,11534.96,
65,8989.45,,
66,,13155.23,
67,,,9322.77
68,9158.28,,
69,9722.28,,
70,,11312.02,
71,9641.23,,
72,9419.62,,
73,9140.12,,
74,,10123.91,
75,,12068.48,
76,8116.65,,
77,,9804.51,
78,10752.77,,
79,9079.12,,
80,,11413.41,
81,,11519.37,
82,,10639.68,
83,10095.84,,
84,10640.62,,
85,,11380.79,
86,9184.62,,
87,,11881.84,
88,10816.34,,
89,,10203.22,
90,,9864.99,
91,9640.00,,
92,,10835.14,
93,,10388.72,
94,9901.16,,
95,,10352.75,
96,9098.65,,
97,12182.33,,
98,,10462.38,
99,,11347.69,
100,,12396.97,
101,,10857.89,
102,10951.56,,
103,,,8739.67
104,8838.69,,
105,8853.96,,
106,10013.91,,
107,10643.13,,
108,10837.72,,
109,10527.97,,
110,9411.39,,
111,8427.55,,
112,9414.20,,
113,9027.56,,
114,,,8672.25
115,8676.35,,
116,9270.22,,
117,,10267.16,
118,9243.58,,
119,8158.64,,
120,,11120.52,
121,8876.60,,
122,9420.64,,
123,8724.48,,
124,9982.03,,
125,,10021.60,
126,8814.17,,
127,9964.03,,
128,,9833.06,
129,9393.07,,
130,,12837.24,
131,8588.01,,
132,7902.40,,
133,9805.72,,
134,8363.25,,
135,,9796.52,
136,10545.67,,
137,9749.86,,
138,9472.53,,
139,,11881.58,
140,8753.50,,
141,8807.14,,
142,8773.88,,
143,8844.30,,
144,9548.54,,
145,9034.40,,
146,,13004.33,
147,8623.15,,
148,11237.26,,
149,,9768.62,
150,7576.55,,
151,,9301.43,
152,7152.66,,
153,10938.14,,
154,9577.39,,
155,9870.51,,
156,10379.66,,
157,,9074.70,
158,9705.79,,
159,9164.96,,
160,,9820.80,
161,8486.33,,
162,9377.59,,
163,,9505.18,
164,,11780.04,
165,,9297.04,
166,,10962.95,
167,,12306.18,
168,,9735.36,
169,,10476.35,
170,7238.24,,
171,9548.19,,
172,9274.34,,
173,8880.13,,
174,8644.61,,
175,9224.37,,
176,,10085.63,
177,10081.61,,
178,8861.18,,
179,8869.92,,
180,8384.81,,
181,,11837.45,
182,9510.87,,
183,9026.11,,
184,8305.52,,
185,10241.47,,
186,11283.47,,
187,,11036.42,
188,10178.40,,
189,8645.80,,
190,9794.88,,
191,9679.97,,
192,,9233.11,
193,8409.22,,
194,,10687.35,
195,9052.59,,
196,,10460.54,
197,7527.75,,
198,10316.15,,
199,,13325.65,
200,9007.63,,
201,9185.88,,
202,,9567.14,
203,,12495.41,
204,8383.45,,
205,8316.88,,
206,8260.82,,
207,,12074.37,
208,,11551.89,
209,8702.48,,
210,7343.15,,
211,,9736.64,
212,9127.64,,
213,,8697.72,
214,8688.95,,
215,7875.86,,
216,9473.83,,
217,,8802.75,
218,9306.26,,
219,10376.49,,
220,9269.58,,
221,9999.55,,
222,7570.09,,
223,8462.79,,
224,11582.38,,
225,8459.57,,
226,8857.67,,
227,,9703.33,
228,,11035.26,
229,10252.87,,
230,9960.09,,
231,8703.02,,
232,8519.18,,
233,,9810.05,
234,11667.52,,
235,8210.10,,
236,8608.33,,
237,9668.92,,
238,10816.72,,
239,,13008.07,
240,10809.71,,
241,8437.04,,
242,10050.83,,
243,9390.44,,
244,9153.72,,
245,10696.42,,
246,10274.98,,
247,9989.59,,
248,,10215.66,
249,9515.29,,
250,,9030.30,
251,8249.58,,
252,9094.31,,
253,10764.47,,
254,,9371.51,
255,10016.37,,
256,,10231.88,
257,8343.08,,
258,8078.33,,
259,9014.94,,
260,,8711.41,
261,,11914.34,
262,9335.25,,
263,9570.46,,
264,10544.74,,
265,9232.30,,
266,,10112.18,
267,7964.01,,
268,,9613.49,
269,8691.95,,
270,9763.80,,
271,,10296.48,
272,,9982.24,
273,,10888.11,
274,,11021.73,
275,9930.55,,
276,,9814.00,
277,7715.24,,
278,9521.77,,
279,,11227.66,
280,9001.32,,
281,8508.93,,
282,,9264.37,
283,,,8613.80
284,9872.93,,
285,,10915.38,
286,10029.44,,
287,,9373.98,
288,9519.14,,
289,,9221.11,
290,8716.79,,
291,9727.28,,
292,9654.13,,
293,11255.41,,
294,10612.09,,
295,8878.88,,
296,7692.29,,
297,9393.47,,
298,8782.42,,
299,11881.35,,
300,,11638.28,
301,9921.91,,
302,9496.65,,
303,9746.63,,
304,,9273.37,
305,10024.42,,
306,10046.96,,
307,8100.29,,
308,10106.31,,
309,,9572.95,
310,8774.00,,
311,,9167.18,
312,9453.42,,
313,8739.40,,
314,8797.22,,
315,9003.45,,
316,,9579.78,
317,,,8572.83
318,9357.92,,
319,8677.54,,
320,8447.77,,
321,8752.50,,
322,9341.37,,
323,7261.06,,
324,8924.82,,
325,8321.20,,
326,7832.32,,
327,7511.15,,
328,11112.71,,
329,,12175.85,
330,11261.15,,
331,8179.14,,
332,,9190.28,
333,9281.16,,
334,7870.74,,
335,8318.97,,
336,9408.91,,
337,8889.67,,
338,8090.55,,
339,,11509.17,
340,10940.71,,
341,9067.09,,
342,10142.88,,
343,8668.24,,
344,8912.04,,
345,,11582.06,
346,,10728.17,
347,8774.11,,
348,7917.95,,
349,10098.12,,
350,8507.80,,
351,8539.44,,
352,8111.78,,
353,9088.46,,
354,7970.09,,
355,8468.95,,
356,9793.45,,
357,7083.81,,
358,9359.90,,
359,8737.64,,
360,8510.99,,
361,10355.67,,
362,7385.73,,
363,11469.16,,
364,9113.76,,
365,9809.20,,
366,10857.57,,
367,7845.92,,
368,11273.46,,
369,9313.05,,
370,9125.25,,
371,,10665.26,
372,8506.16,,
373,8802.59,,
374,7510.22,,
375,9073.55,,
376,,11518.40,
377,7857.09,,
378,7809.16,,
379,11037.35,,
380,10918.87,,
381,8307.75,,
382,8933.44,,
383,,9956.05,
384,8697.62,,
385,8925.00,,
386,9449.55,,
387,,9765.31,
388,10081.18,,
389,9560.11,,
390,10201.62,,
391,,8832.73,
392,10035.43,,
393,6984.69,,
394,9240.26,,
395,8961.71,,
396,9487.59,,
397,9121.81,,
398,8453.91,,
399,9765.28,,
400,,10471.61,
401,,11422.76,
402,10469.15,,
403,9277.20,,
404,8009.57,,
405,8899.11,,
406,10117.84,,
407,9097.71,,
408,9367.48,,
409,8120.42,,
410,10733.24,,
411,9881.19,,
412,10328.40,,
413,,9718.06,
414,8379.74,,
415,9072.76,,
416,10614.69,,
417,9522.91,,
418,8941.26,,
419,9949.64,,
420,8328.21,,
421,10238.29,,
422,8888.18,,
423,8712.37,,
424,7881.86,,
425,9476.48,,
426,9545.96,,
427,7501.21,,
428,7147.22,,
429,,11680.38,
430,9832.81,,
431,,11906.05,
432,7243.57,,
433,13082.27,,
434,8648.79,,
435,9458.20,,
436,,8778.05,
437,,11143.36,
438,8467.28,,
439,,11397.36,
440,9383.28,,
441,10163.22,,
442,8787.07,,
443,,11327.19,
444,8181.91,,
445,7917.01,,
446,8864.99,,
447,7037.05,,
448,10633.83,,
449,,10532.70,
450,11198.16,,
451,,9371.52,
452,7391.26,,
453,,11492.23,
454,12736.93,,
455,,10977.45,
456,12570.82,,
457,9977.79,,
458,9453.40,,
459,9933.80,,
460,9423.70,,
461,9679.71,,
462,8695.99,,
463,9786.62,,
464,8436.38,,
465,10003.10,,
466,,9979.31,
467,8042.75,,
468,7976.18,,
469,,9389.20,
470,7862.71,,
471,,10632.62,
472,7969.59,,
473,7946.05,,
474,9030.05,,
475,7506.57,,
476,7762.78,,
477,,9347.55,
478,8851.82,,
479,10854.38,,
480,7875.67,,
481,8759.76,,
482,,10654.95,
483,9045.48,,
484,9500.18,,
485,,10750.76,
486,,9958.14,
487,8512.88,,
488,9856.99,,
489,9497.42,,
490,,11105.22,
491,8095.42,,
492,9670.49,,
493,9136.47,,
494,8200.83,,
495,,9821.09,
496,8037.28,,
497,9073.15,,
498,8746.49,,
499,7616.96,,
500,9766.60,,
501,10397.59,,
502,9216.57,,
503,9367.50,,
504,,14071.80,
505,,9980.50,
506,8524.53,,
507,8556.72,,
508,8509.92,,
509,11543.69,,
510,,9221.30,
511,8453.23,,
512,11214.51,,
513,8126.68,,
514,10085.86,,
515,,10548.10,
516,9714.52,,
517,9974.24,,
518,8201.58,,
519,9165.27,,
520,8635.51,,
521,9947.04,,
522,8848.74,,
523,8112.90,,
524,11316.00,,
525,11507.32,,
526,8608.12,,
527,12632.44,,
528,12307.45,,
529,8473.15,,
530,,10721.70,
531,10126.76,,
532,9711.27,,
533,10865.84,,
534,,9094.76,
535,10256.25,,
536,9190.80,,
537,,9704.36,
538,8010.83,,
539,8029.94,,
540,,9515.19,
541,10136.72,,
542,9978.07,,
543,,10047.23,
544,8723.89,,
545,7972.94,,
546,9668.07,,
547,,10222.45,
548,9004.58,,
549,10454.64,,
550,,10211.58,
551,,9528.52,
552,7950.44,,
553,8350.99,,
554,7916.48,,
555,8845.47,,
556,9143.83,,
557,10509.96,,
558,8254.40,,
559,10089.82,,
560,,11022.12,
561,10003.39,,
562,8585.62,,
563,,10828.70,
564,11263.23,,
565,9104.41,,
566,10474.48,,
567,,9589.35,
568,8923.46,,
569,10300.18,,
570,8183.55,,
571,9245.61,,
572,9316.31,,
573,,9559.59,
574,9019.38,,
575,7988.27,,
576,8226.39,,
577,,9146.49,
578,8594.65,,
579,,11472.37,
580,7837.07,,
581,,11505.61,
582,10008.22,,
583,,10949.57,
584,8378.56,,
585,10148.81,,
586,8709.93,,
587,7855.97,,
588,8449.11,,
589,11365.99,,
590,8188.89,,
591,8903.59,,
592,10157.83,,
593,9093.63,,
594,,10105.51,
595,8594.88,,
596,10338.87,,
597,11007.74,,
598,9593.88,,
599,8961.38,,
600,9745.54,,
601,8302.25,,
602,8096.08,,
603,8098.13,,
604,8367.97,,
605,9201.89,,
606,9394.51,,
607,10819.15,,
608,11304.39,,
609,7745.95,,
610,8736.88,,
611,9666.76,,
612,,9963.27,
613,9783.93,,
614,10284.02,,
615,9690.43,,
616,8052.78,,
617,9424.43,,
618,,11894.06,
619,10788.75,,
620,9544.21,,
621,11077.67,,
622,9496.55,,
623,8481.62,,
624,8483.96,,
625,,9719.54,
626,10526.90,,
627,,10876.68,
628,12423.87,,
629,8648.19,,
630,8815.16,,
631,8127.80,,
632,,10515.47,
633,7874.14,,
634,7686.96,,
635,,8953.70,
636,10119.02,,
637,9896.58,,
638,,8697.63,
639,,10806.22,
640,8324.91,,
641,,10841.76,
642,,9690.14,
643,8618.71,,
644,,10681.49,
645,9452.30,,
646,8084.47,,
647,9260.61,,
648,,10341.71,
649,8178.74,,
650,8422.61,,
651,7908.25,,
652,,11207.52,
653,8299.40,,
654,10280.50,,
655,7818.43,,
656,8215.53,,
657,,10295.25,
658,10761.82,,
659,,9775.38,
660,9353.88,,
661,7883.61,,
662,11282.83,,
663,,10351.31,
664,,10200.76,
665,11431.15,,
666,9256.05,,
667,9171.24,,
668,7271.61,,
669,,11004.57,
670,,10410.51,
671,10135.82,,
672,9888.98,,
673,,9540.47,
674,8757.11,,
675,,9457.43,
676,,9108.86,
677,10109.20,,
678,,11063.26,
679,8476.88,,
680,9248.65,,
681,8008.54,,
682,7314.61,,
683,8082.17,,
684,10702.14,,
685,,9676.36,
686,9194.31,,
687,10082.08,,
688,,11858.94,
689,11732.05,,
690,8981.01,,
691,9541.51,,
692,9977.79,,
693,7808.84,,
694,10998.52,,
695,9790.09,,
696,7845.92,,
697,9787.94,,
698,7943.07,,
699,8839.87,,
700,9899.64,,
701,8732.71,,
702,,11285.57,
703,8198.72,,
704,8531.74,,
705,,10094.52,
706,8453.65,,
707,9609.23,,
708,,10873.87,
709,10404.77,,
710,8998.84,,
711,11087.79,,
712,,10081.80,
713,10084.12,,
714,8519.18,,
715,10584.33,,
716,10561.38,,
717,,11565.69,
718,9477.21,,
719,8321.44,,
720,,10963.90,
721,8890.32,,
722,,10482.22,
723,8722.03,,
724,9248.56,,
725,9902.52,,
726,9470.55,,
727,8515.16,,
728,8506.16,,
729,9006.39,,
730,10746.74,,
731,8871.81,,
732,10628.45,,
733,7987.38,,
734,10432.50,,
735,8486.59,,
736,9115.38,,
737,9083.27,,
738,9996.05,,
739,,9907.75,
740,7844.74,,
741,8651.26,,
742,9096.62,,
743,8661.68,,
744,9490.14,,
745,,11493.69,
746,,,8529.26
747,8903.82,,
748,,9943.92,
749,9030.39,,
750,10089.70,,
751,10791.38,,
752,8326.16,,
753,7859.56,,
754,8220.48,,
755,,8616.91,
756,8902.00,,
757,9801.50,,
758,8635.14,,
759,7706.62,,
760,9813.69,,
761,9824.04,,
762,9870.94,,
763,9628.18,,
764,10153.24,,
765,9328.80,,
766,9493.64,,
767,10628.58,,
768,9021.14,,
769,10074.10,,
770,11770.13,,
771,8093.51,,
772,7812.70,,
773,8173.13,,
774,8521.52,,
775,9339.78,,
776,9066.32,,
777,8832.01,,
778,8254.40,,
779,8493.01,,
780,9909.35,,
781,9146.33,,
782,11374.19,,
783,9308.67,,
784,10724.72,,
785,,9771.29,
786,9491.88,,
787,7994.86,,
788,,9870.05,
789,8087.37,,
790,,13900.60,
791,9790.40,,
792,8127.26,,
793,7991.15,,
794,9438.66,,
795,9560.87,,
796,,,7817.40
797,8585.60,,
798,8649.85,,
799,8510.12,,
800,9883.94,,
801,10564.61,,
802,7675.80,,
803,8025.35,,
804,8379.92,,
805,9361.18,,
806,8532.59,,
807,9314.86,,
808,8669.97,,
809,8397.24,,
810,9036.00,,
811,9564.93,,
812,8608.33,,
813,7587.96,,
814,6455.85,,
815,7709.96,,
816,,10253.34,
817,7951.47,,
818,7534.99,,
819,9282.86,,
820,8215.77,,
821,7349.23,,
822,9122.74,,
823,7716.30,,
824,8522.95,,
825,8495.88,,
826,9078.81,,
827,9461.47,,
828,8308.53,,
829,9200.60,,
830,7940.78,,
831,8946.78,,
832,8417.64,,
833,7684.56,,
834,7927.44,,
835,7580.32,,
836,8836.29,,
837,,10555.71,
838,8211.70,,
839,11072.11,,
840,,9204.77,
841,,10530.74,
842,9465.20,,
843,9889.10,,
844,8082.14,,
845,7756.25,,
846,,10061.75,
847,,8387.42,
848,9692.78,,
849,7636.43,,
850,8255.97,,
851,9798.32,,
852,10448.61,,
853,8078.84,,
854,8397.14,,
855,7220.90,,
856,8627.30,,
857,8803.81,,
858,7654.52,,
859,7901.62,,
860,8931.16,,
861,7349.23,,
862,10852.74,,
863,7695.96,,
864,,9010.07,
865,7872.45,,
866,8490.94,,
867,8281.16,,
868,9167.48,,
869,,,7777.91
870,8502.87,,
871,8454.15,,
872,,9226.16,
873,8859.53,,
874,7708.24,,
875,8188.26,,
876,9623.12,,
877,9472.92,,
878,8008.09,,
879,10130.32,,
880,8922.12,,
881,8929.29,,
882,,9526.47,
883,8287.21,,
884,9753.66,,
885,9219.38,,
886,9586.96,,
887,10096.06,,
888,9063.90,,
889,7057.65,,
890,8624.12,,
891,8705.60,,
892,7709.96,,
893,8530.53,,
894,7589.37,,
895,8874.92,,
896,10616.29,,
897,7788.43,,
898,7939.87,,
899,7957.02,,
900,9676.17,,
901,8919.50,,
902,,10318.64,
903,7822.82,,
904,9378.05,,
905,,9320.58,
906,8620.94,,
907,10253.79,,
908,8536.31,,
909,8623.85,,
910,,10594.93,
911,,10055.30,
912,11219.15,,
913,9108.98,,
914,9183.16,,
915,,8485.87,
916,8382.03,,
917,6580.24,,
918,9339.61,,
919,,10310.13,
920,8062.99,,
921,11770.13,,
922,8824.40,,
923,8398.29,,
924,9335.51,,
925,,8930.48,
926,8891.99,,
927,9867.03,,
928,8754.06,,
929,7291.27,,
930,9558.98,,
931,7735.16,,
932,7545.72,,
933,7547.40,,
934,,8709.10,
935,10282.01,,
936,10828.06,,
937,,7912.73,
938,8548.39,,
939,10179.67,,
940,9310.48,,
941,9320.91,,
942,7732.92,,
943,,10225.25,
944,6939.19,,
945,8079.27,,
946,8196.00,,
947,10701.66,,
